method,proportion,avg length
Naive,0.6,23.118794553249046
Naive,0.6,16.687495123800574
Naive,0.6,12.085258223486296
Naive,0.6,17.448532815422723
Naive,0.6,15.19215921302008
Naive,0.6,24.663875969331933
Naive,0.6,13.759592214052754
Naive,0.6,22.493527173665143
Naive,0.6,20.64220356924804
Naive,0.6,15.206549760388082
Naive,0.6,15.210230951385618
Naive,0.6,16.868238402279975
Naive,0.6,21.771412676917446
Naive,0.6,22.454509148915196
Naive,0.6,22.80534824040542
Naive,0.6,19.467556474688692
Naive,0.6,15.965787801313988
Naive,0.6,20.573778382256254
Naive,0.6,11.45144225691458
Naive,0.6,17.533104511742433
Naive,0.6,14.03682952610707
Naive,0.6,13.734086067551956
Naive,0.6,21.327700418867025
Naive,0.6,14.190382285567964
Naive,0.6,23.21199066387381
Naive,0.6,19.93551537075533
Naive,0.6,22.23723883237073
Naive,0.6,15.08703785496689
Naive,0.6,17.314000675562998
Naive,0.6,15.578671158832657
Naive,0.6,1246.7394358106292
Naive,0.6,15.42189220375868
Naive,0.6,21.113146982825555
Naive,0.6,17.612737961943182
Naive,0.6,16.384769578611227
Naive,0.6,22.67861753575463
Naive,0.6,21.00909355292274
Naive,0.6,21.209804324781466
Naive,0.6,13.781078040976732
Naive,0.6,23.51238961725159
Naive,0.6,14.793334363382504
Naive,0.6,29.297026448961574
Naive,0.6,13.453769555758315
Naive,0.6,14.795091370952512
Naive,0.6,22.022367984133126
Naive,0.6,18.370604307247106
Naive,0.6,24.899869904153945
Naive,0.6,20.707255917141847
Naive,0.6,34.9564712365567
Naive,0.6,15.967301088775145
Naive,0.6,20.73107693201081
Naive,0.6,25.669349523973704
Naive,0.6,17.702905152501597
Naive,0.6,20.05073557046082
Naive,0.6,27.975294539474493
Naive,0.6,13.885352106988567
Naive,0.6,21.106083931904195
Naive,0.6,15.323920242613749
Naive,0.6,23.45251038793103
Naive,0.6,23.582328240446632
Naive,0.6,26.587958295885713
Naive,0.6,1670.7749476254323
Naive,0.6,19.203333973983792
Naive,0.6,19.828467881185798
Naive,0.6,21.20800605799694
Naive,0.6,23.670807664660085
Naive,0.6,1499.104739765663
Naive,0.6,19.2704207476639
Naive,0.6,18.859279953712424
Naive,0.6,14.277525848546881
Naive,0.6,18.0346562557288
Naive,0.6,16.416069557354078
Naive,0.6,19.505220613929264
Naive,0.6,33.61802673349551
Naive,0.6,22.34834461333153
Naive,0.6,13.39578812842837
Naive,0.6,15.234614311787567
Naive,0.6,21.4943708254105
Naive,0.6,14.113613749600532
Naive,0.6,19.486875428304625
Naive,0.6,14.249614578337447
Naive,0.6,18.228645816343377
Naive,0.6,15.887048429004752
Naive,0.6,13.820573974820524
Naive,0.6,22.094292922982774
Naive,0.6,13.436538597644251
Naive,0.6,20.41884967838276
Naive,0.6,20.481333257438486
Naive,0.6,14.332853749297826
Naive,0.6,28.771745924490528
Naive,0.6,22.364729869155354
Naive,0.6,19.126146191338588
Naive,0.6,24.022439876625825
Naive,0.6,18.06673331110056
Naive,0.6,24.25924095934761
Naive,0.6,11.894818131786488
Naive,0.6,14.814139321728957
Naive,0.6,21.29681323111949
Naive,0.6,17.685419059185428
Naive,0.6,22.834586129713916
Naive,0.6,15.466883808735579
Naive,0.6,16.380107733017496
Naive,0.6,25.752949736733786
Naive,0.6,15.169470327283571
Naive,0.6,15.709366871209347
Naive,0.6,20.350428157245045
Naive,0.6,17.300336993646695
Naive,0.6,31.85009919560206
Naive,0.6,17.345586526672893
Naive,0.6,21.5115253800611
Naive,0.6,19.908365939902314
Naive,0.6,20.58859622815438
Naive,0.6,14.209177472420963
Naive,0.6,21.7572329668164
Data splitting,0.7,32.619164512429826
Data splitting,0.7,39.07964196533283
Data splitting,0.7,20.025412794194548
